Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,325.32,325.3199179967244,"[317.15, 333.49]"
100%,Query 2,624.86,624.855629603068,"[623.71, 626.0]"
100%,Query 3,1225.01,1225.0123977661133,"[1219.94, 1230.09]"
100%,Query 4,3088.49,3088.4854396184287,"[3084.3, 3092.67]"
100%,Query 5,4279.41,4279.41427230835,"[4271.7, 4287.13]"
75%,Query 1,266.62,266.6203260421753,"[265.55, 267.69]"
75%,Query 2,476.8,476.7972946166992,"[469.68, 483.92]"
75%,Query 3,926.4,926.4049688975016,"[924.72, 928.09]"
75%,Query 4,2338.89,2338.885553677877,"[2334.47, 2343.3]"
75%,Query 5,3233.2,3233.201026916504,"[3229.24, 3237.16]"
50%,Query 1,178.21,178.20633252461752,"[177.14, 179.27]"
50%,Query 2,166.21,166.21244748433432,"[165.81, 166.62]"
50%,Query 3,617.36,617.3563957214355,"[616.35, 618.37]"
50%,Query 4,1564.62,1564.6237055460613,"[1553.49, 1575.75]"
50%,Query 5,2149.3,2149.297753969828,"[2144.83, 2153.77]"
25%,Query 1,88.8,88.80096276601155,"[87.87, 89.73]"
25%,Query 2,82.41,82.40765730539958,"[82.26, 82.55]"
25%,Query 3,305.6,305.59998353322345,"[304.91, 306.29]"
25%,Query 4,772.46,772.4642356236776,"[769.31, 775.62]"
25%,Query 5,1062.8,1062.8038167953491,"[1061.43, 1064.17]"
