Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,10.41,10.41,"[9.67, 11.15]"
100%,Query 2,6.84,6.84,"[5.96, 7.73]"
100%,Query 3,7.51,7.51,"[6.41, 8.61]"
100%,Query 4,7.63,7.63,"[6.25, 9.02]"
100%,Query 5,7.79,7.79,"[6.42, 9.17]"
75%,Query 1,8.05,8.05,"[7.42, 8.68]"
75%,Query 2,5.64,5.64,"[4.88, 6.4]"
75%,Query 3,5.89,5.89,"[4.98, 6.79]"
75%,Query 4,6.14,6.14,"[4.99, 7.28]"
75%,Query 5,6.39,6.39,"[5.16, 7.62]"
50%,Query 1,6.02,6.02,"[5.27, 6.77]"
50%,Query 2,4.23,4.23,"[3.6, 4.85]"
50%,Query 3,5.09,5.09,"[3.67, 6.5]"
50%,Query 4,4.61,4.61,"[3.64, 5.57]"
50%,Query 5,4.83,4.83,"[3.74, 5.93]"
25%,Query 1,3.44,3.44,"[3.08, 3.8]"
25%,Query 2,2.7,2.7,"[2.24, 3.17]"
25%,Query 3,2.83,2.83,"[2.25, 3.4]"
25%,Query 4,3.07,3.07,"[2.31, 3.82]"
25%,Query 5,3.26,3.26,"[2.37, 4.16]"
